Year,Award,Winner,Name,Film
1996,ACTOR IN A SUPPORTING ROLE,1,"CUBA GOODING, JR.",JERRY MAGUIRE
1981,ACTOR IN A SUPPORTING ROLE,0,"HOWARD E. ROLLINS, JR.",RAGTIME
1982,ACTOR IN A SUPPORTING ROLE,1,"LOUIS GOSSETT, JR.",AN OFFICER AND A GENTLEMAN
2006,ACTRESS IN A SUPPORTING ROLE,0,ABIGAIL BRESLIN,LITTLE MISS SUNSHINE
1984,ACTOR IN A SUPPORTING ROLE,0,ADOLPH CAESAR,A SOLDIER'S STORY
1931,ACTOR IN A LEADING ROLE,0,ADOLPHE MENJOU,THE FRONT PAGE
2006,ACTRESS IN A SUPPORTING ROLE,0,ADRIANA BARRAZA,BABEL
2002,ACTOR IN A LEADING ROLE,1,ADRIEN BRODY,THE PIANIST
1964,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,"HUSH...HUSH, SWEET CHARLOTTE"
1948,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,JOHNNY BELINDA
1944,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,MRS. PARKINGTON
1942,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,THE MAGNIFICENT AMBERSONS
1943,ACTOR IN A SUPPORTING ROLE,0,AKIM TAMIROFF,FOR WHOM THE BELL TOLLS
1936,ACTOR IN A SUPPORTING ROLE,0,AKIM TAMIROFF,THE GENERAL DIED AT DAWN
1992,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,GLENGARRY GLEN ROSS
1992,ACTOR IN A LEADING ROLE,1,AL PACINO,SCENT OF A WOMAN
1990,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,DICK TRACY
1979,ACTOR IN A LEADING ROLE,0,AL PACINO,...AND JUSTICE FOR ALL
1975,ACTOR IN A LEADING ROLE,0,AL PACINO,DOG DAY AFTERNOON
1974,ACTOR IN A LEADING ROLE,0,AL PACINO,THE GODFATHER PART II
1973,ACTOR IN A LEADING ROLE,0,AL PACINO,SERPICO
1972,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,THE GODFATHER
